"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年1月23日","22.51","22.00","22.66","21.75","3.87M","-0.09%"
"2020年1月22日","22.53","22.80","23.06","22.52","4.42M","-0.35%"
"2020年1月21日","22.61","22.51","23.25","22.14","6.81M","-0.83%"
"2020年1月17日","22.80","23.11","23.16","22.41","6.59M","-0.74%"
"2020年1月16日","22.97","23.58","23.60","22.76","3.05M","-0.26%"
"2020年1月15日","23.03","22.93","23.27","22.76","4.05M","0.70%"
"2020年1月14日","22.87","22.00","23.02","21.98","5.57M","4.00%"
"2020年1月13日","21.99","22.35","22.83","21.85","7.12M","2.04%"
"2020年1月10日","21.55","22.57","22.59","20.83","11.03M","-6.95%"
"2020年1月9日","23.16","24.29","24.47","22.87","8.43M","-2.85%"
"2020年1月8日","23.84","22.92","23.91","22.19","7.89M","3.07%"
"2020年1月7日","23.13","23.17","23.20","22.42","7.43M","-0.34%"
"2020年1月6日","23.21","21.46","23.45","21.41","10.70M","5.12%"
"2020年1月3日","22.08","20.55","22.59","20.53","11.53M","5.39%"
"2020年1月2日","20.95","19.47","21.89","19.30","12.67M","12.51%"
"2019年12月31日","18.62","18.55","19.17","18.48","2.98M","0.92%"
"2019年12月30日","18.45","18.20","18.59","18.13","3.09M","1.15%"
"2019年12月27日","18.24","18.31","18.40","18.10","1.75M","-0.55%"
"2019年12月26日","18.34","18.45","18.47","18.24","1.38M","-0.54%"
"2019年12月24日","18.44","18.44","18.57","18.34","982.90K","0.11%"
"2019年12月23日","18.42","18.00","18.50","17.96","1.86M","2.68%"
"2019年12月20日","17.94","18.09","18.50","17.91","2.00M","-0.55%"
"2019年12月19日","18.04","17.79","18.09","17.61","2.27M","1.98%"
"2019年12月18日","17.69","17.86","17.86","17.47","2.69M","-0.90%"
"2019年12月17日","17.85","18.06","18.06","17.63","3.07M","-0.61%"
"2019年12月16日","17.96","18.05","18.08","17.78","1.98M","0.34%"
"2019年12月13日","17.90","17.75","18.04","17.67","3.54M","0.90%"
"2019年12月12日","17.74","17.48","17.83","17.40","1.75M","1.14%"
"2019年12月11日","17.54","17.10","17.61","16.99","1.55M","3.42%"
"2019年12月10日","16.96","17.11","17.19","16.90","2.08M","-0.18%"
"2019年12月9日","16.99","17.08","17.39","16.93","2.95M","-1.05%"
"2019年12月6日","17.17","17.06","17.24","17.02","1.69M","1.30%"
"2019年12月5日","16.95","16.54","17.20","16.45","2.86M","3.23%"
"2019年12月4日","16.42","16.80","16.89","16.35","1.81M","-1.56%"
"2019年12月3日","16.68","16.90","17.10","16.47","3.12M","-4.19%"
"2019年12月2日","17.41","17.20","17.50","17.05","3.10M","0.75%"
"2019年11月29日","17.28","16.85","17.30","16.44","1.32M","1.65%"
"2019年11月27日","17.00","16.89","17.30","16.81","2.37M","1.19%"
"2019年11月26日","16.80","16.84","16.99","16.62","1.14M","-0.06%"
"2019年11月25日","16.81","16.50","16.94","16.36","2.03M","1.33%"
"2019年11月22日","16.59","16.93","16.98","16.56","2.82M","-1.95%"
"2019年11月21日","16.92","16.34","17.09","16.30","3.83M","3.87%"
"2019年11月20日","16.29","15.50","16.63","15.42","4.35M","3.56%"
"2019年11月19日","15.73","16.60","16.65","15.18","9.08M","-3.97%"
